K;Tamanho;execution_time
16;10000000;3,7786292
16;10000000;3,7700319
16;10000000;3,7652751
16;10000000;3,7543756
16;10000000;3,7861279
16;10000000;3,760926
16;10000000;3,796125
16;10000000;3,741284
16;10000000;3,8077963
16;10000000;3,7877766
16;10000000;3,7716808
16;10000000;3,7979427
16;10000000;6,2631
16;10000000;3,8232893
16;10000000;3,7797479
16;10000000;6,3361328
16;10000000;3,977893
16;10000000;3,8060163
16;10000000;6,4118194
16;10000000;3,7857828
16;10000000;3,7760231
16;10000000;3,7860537
16;10000000;3,8185367
16;10000000;3,9263891
16;10000000;3,8057444
16;10000000;3,77575
16;10000000;3,8968564
16;10000000;3,8120601
16;10000000;3,7758179
16;10000000;3,7781916
16;10000000;3,7789232
16;10000000;3,8055559
16;10000000;3,7700651
16;10000000;3,7458459
16;10000000;3,7516112
16;10000000;3,7753411
16;10000000;3,7629859
16;10000000;3,7625817
16;10000000;3,7756769
16;10000000;3,7642449
16;10000000;3,7731672
16;10000000;3,7562978
16;10000000;3,7905433
16;10000000;3,7976314
1;100000000;85,2995895
1;100000000;73,4297304
1;100000000;68,2389756
1;100000000;66,3635852
1;100000000;72,8557714
1;100000000;71,7165018
1;100000000;70,6478229
1;100000000;69,920711
1;100000000;71,3527394
1;100000000;70,7591548
1;100000000;73,872146
1;100000000;72,7932588
1;100000000;76,4484896
1;100000000;68,5032417
1;100000000;71,0189638
1;100000000;69,6034713
1;100000000;71,6921316
1;100000000;72,6086697
1;100000000;69,1097599
1;100000000;72,8643998
1;100000000;65,8960822
1;100000000;67,4858516
1;100000000;69,6608246
1;100000000;66,3365239
1;100000000;71,2547838
1;100000000;70,0882088
1;100000000;73,1201774
1;100000000;66,8820036
1;100000000;75,2108286
1;100000000;71,0596676
1;100000000;70,6712812
1;100000000;67,3584249
1;100000000;69,4847038
1;100000000;65,553626
1;100000000;64,351967
1;100000000;71,1315063
1;100000000;74,2229718
1;100000000;73,1732697
1;100000000;66,6150644
1;100000000;66,364784
1;100000000;72,5898817
1;100000000;65,2294328
1;100000000;72,9472045
1;100000000;72,5107274
1;100000000;76,8790287
1;100000000;66,2967779
1;100000000;87,5501776
1;100000000;69,4075703
1;100000000;72,1221909
1;100000000;72,1726302
2;100000000;56,4258139
2;100000000;58,3660873
2;100000000;54,4151384
2;100000000;55,5879759
2;100000000;55,0032764
2;100000000;57,3772924
2;100000000;59,9763664
2;100000000;56,8699874
2;100000000;56,2674816
2;100000000;53,1844401
2;100000000;56,5292594
2;100000000;57,8641084
2;100000000;54,7552466
2;100000000;56,3055863
2;100000000;55,3722085
2;100000000;54,67986
2;100000000;57,0450832
2;100000000;54,4316435
2;100000000;55,6222402
2;100000000;57,8794686
2;100000000;53,3928713
2;100000000;56,8918756
2;100000000;56,2649623
2;100000000;57,000445
2;100000000;55,7366101
2;100000000;60,6451691
2;100000000;57,5891176
2;100000000;57,4858381
2;100000000;58,1262162
2;100000000;54,8995325
2;100000000;59,357293
2;100000000;57,0651842
2;100000000;60,0568246
2;100000000;58,7861222
2;100000000;57,263599
2;100000000;56,3710506
2;100000000;56,3631662
2;100000000;54,7752372
2;100000000;54,7193068
2;100000000;54,2455447
2;100000000;56,3542465
2;100000000;57,6930065
2;100000000;57,463988
2;100000000;58,6156475
2;100000000;59,70625
2;100000000;58,0425299
2;100000000;56,3763016
2;100000000;56,1132064
2;100000000;56,5261179
2;100000000;56,7652344
4;100000000;51,9338397
4;100000000;51,3211947
4;100000000;49,3692616
4;100000000;50,3678618
4;100000000;49,336233
4;100000000;49,3186648
4;100000000;49,382767
4;100000000;48,8739661
4;100000000;49,0700284
4;100000000;49,956903
4;100000000;47,7233137
4;100000000;49,1816215
4;100000000;46,7101393
4;100000000;47,1290166
4;100000000;47,1547989
4;100000000;51,061987
4;100000000;48,1152054
4;100000000;48,0562998
4;100000000;47,358459
4;100000000;50,140003
4;100000000;50,8303573
4;100000000;46,9798854
4;100000000;48,6128197
4;100000000;45,7530429
4;100000000;47,1763682
4;100000000;46,9880222
4;100000000;51,6975458
4;100000000;50,7528213
4;100000000;48,6830548
4;100000000;46,8034301
4;100000000;46,4133351
4;100000000;48,0342732
4;100000000;46,3441293
4;100000000;45,5549314
4;100000000;47,3811758
4;100000000;45,3057793
4;100000000;46,0457473
4;100000000;45,3163175
4;100000000;46,8106019
4;100000000;47,4093063
4;100000000;48,1335664
4;100000000;47,7774781
4;100000000;46,4772418
4;100000000;47,3672885
4;100000000;47,7718583
4;100000000;49,2030955
4;100000000;47,3398717
4;100000000;45,6959454
4;100000000;45,5318687
4;100000000;48,0175138
8;100000000;47,8763497
8;100000000;45,2956243
8;100000000;44,6046502
8;100000000;42,9599434
8;100000000;44,3144666
8;100000000;44,5812306
8;100000000;42,9240775
8;100000000;46,2770615
8;100000000;43,9499606
8;100000000;43,7109152
8;100000000;43,257758
8;100000000;42,8842672
8;100000000;43,7135062
8;100000000;41,9256864
8;100000000;41,8776633
8;100000000;44,4394314
8;100000000;44,4382483
8;100000000;43,3275148
8;100000000;45,7348164
8;100000000;44,3697059
8;100000000;46,1685202
8;100000000;41,9281503
8;100000000;42,5094951
8;100000000;43,6861683
8;100000000;43,5138973
8;100000000;43,4068698
8;100000000;43,28974
8;100000000;43,8406914
8;100000000;46,4370071
8;100000000;48,4876157
8;100000000;48,7648913
8;100000000;46,0623805
8;100000000;43,7061925
8;100000000;45,4636786
8;100000000;49,1843678
8;100000000;45,7259708
8;100000000;46,574522
8;100000000;44,3695886
8;100000000;43,0436989
8;100000000;43,5867299
8;100000000;43,4943967
8;100000000;41,843975
8;100000000;45,2019946
8;100000000;45,329612
8;100000000;43,8609788
8;100000000;44,9426003
8;100000000;46,0013875
8;100000000;44,9037384
8;100000000;42,4452044
8;100000000;42,4723888
16;100000000;42,8990232
16;100000000;42,4740314
16;100000000;42,6676285
16;100000000;45,1281109
16;100000000;42,0212153
16;100000000;43,7985582
16;100000000;43,8244966
16;100000000;41,8290558
16;100000000;41,4980335
16;100000000;42,5258101
16;100000000;43,2886732
16;100000000;44,5347131
16;100000000;45,7780913
16;100000000;43,0214067
16;100000000;42,8964887
16;100000000;42,4975955
16;100000000;42,5735316
16;100000000;42,6886935
16;100000000;42,3360409
16;100000000;41,97247
16;100000000;45,4009841
16;100000000;45,0055513
16;100000000;45,7961669
16;100000000;42,8934773
16;100000000;42,1072527
16;100000000;43,948844
16;100000000;44,3869355
16;100000000;46,0546515
16;100000000;44,6230835
16;100000000;44,3547957
16;100000000;45,359808
16;100000000;44,3931282
16;100000000;44,4602837
16;100000000;44,7063371
16;100000000;46,384251
16;100000000;43,9036691
16;100000000;42,9573326
16;100000000;42,6768537
16;100000000;43,9709947
16;100000000;45,2973953
16;100000000;45,0006867
16;100000000;43,8922355
16;100000000;43,8255585
16;100000000;42,7920933
16;100000000;44,3937999
16;100000000;44,2119781
16;100000000;42,072404
16;100000000;47,0938852
16;100000000;44,4195333
16;100000000;42,307149
